Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2023,City,San Diego,Public Utilities,Environmental Scientist II,False,False,,75962,92352,,87418,0,0,3965,91383,13592,0,874,7522,21988,1.0% @ 55,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,Police,Dispatcher II,False,False,,53019,64022,,64022,8377,538,18445,91382,10874,0,5527,18808,35209,2.5% @ 55,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,Public Utilities,Water Systems Technician II,False,False,,50502,60445,,48081,37438,5779,76,91374,3379,0,916,14750,19045,1.0% @ 55,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,Public Utilities,Water Utility Supervisor,False,False,,58635,70138,,52112,33708,1193,4361,91374,5788,0,5324,7771,18883,2.5% @ 55,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,Storm Water,Equipment Operator I,False,False,,47986,57470,,49517,26890,2827,12120,91354,4285,0,818,273,5376,1.0% @ 55,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,Parks & Recreation,Area Manager II,False,False,,71219,86278,,83367,0,4148,3837,91352,0,0,7837,8398,16235,2.5% @ 55,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,Development Services,Combination Inspector II,False,False,,74339,89856,,85871,0,0,5471,91342,0,0,7856,6750,14606,2.5% @ 55,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,Storm Water,Associate Management Analyst,False,False,,72925,88130,,8217,18422,0,64686,91325,10217,0,916,16042,27175,1.0% @ 55,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,Council District 9,Council Representative I,False,False,,23400,147514,,91988,0,0,-664,91324,0,0,0,7617,7617,N/A,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,Police,Criminalist II,False,False,,101088,122158,,87832,4087,0,-596,91323,7221,0,916,7617,15754,1.0% @ 55,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,Police,Police Officer I,False,False,,71822,86653,,78885,4426,2084,5921,91316,12970,0,0,0,12970,2.5@50;2.6@51;2.7@52;2.8@53;2.9@54;3@55,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,Public Utilities,Laboratory Technician,False,False,,57408,69368,,66390,9119,4002,11797,91308,8551,0,4810,18,13379,2.5% @ 55,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,Council Administration,Program Manager,False,False,,66082,243048,,91562,0,0,-257,91305,9925,0,915,7617,18457,1.0% @ 55,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
